Owner,Pipeline,Category,Type,Year,Unit,Value
Plains Midstream Canada ULC,Aurora Pipeline,Abandonment Trust Fund Balance,Trust Fund Balance,2015,$,4228.0
Plains Midstream Canada ULC,Aurora Pipeline,Abandonment Trust Fund Balance,Trust Fund Balance,2016,$,8197.0
Plains Midstream Canada ULC,Aurora Pipeline,Abandonment Trust Fund Balance,Trust Fund Balance,2017,$,11810.0
Plains Midstream Canada ULC,Aurora Pipeline,Abandonment Trust Fund Balance,Trust Fund Balance,2018,$,15331.0
Plains Midstream Canada ULC,Aurora Pipeline,Abandonment Trust Fund Balance,Trust Fund Balance,2019,$,18638.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Revenue,2011,$,81000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Expenses,2011,$,8000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Assets,2011,$,303000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Revenue,2012,$,62000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Expenses,2012,$,8000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Assets,2012,$,298000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Revenue,2013,$,39000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Expenses,2013,$,8000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Assets,2013,$,293000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Revenue,2014,$,60000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Expenses,2014,$,8000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Assets,2014,$,288000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Revenue,2015,$,63000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Expenses,2015,$,9000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Assets,2015,$,283000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Revenue,2016,$,53000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Expenses,2016,$,9000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Assets,2016,$,289000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Revenue,2017,$,46000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Expenses,2017,$,9000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Assets,2017,$,289000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Revenue,2018,$,45000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Expenses,2018,$,9000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Assets,2018,$,289000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Revenue,2019,$,40000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Expenses,2019,$,9000.0
Plains Midstream Canada ULC,Aurora Pipeline,Financial Information,Assets,2019,$,288000.0
Enbridge Bakken Pipeline Company Inc,Enbridge Bakken Pipeline,Abandonment Trust Fund Balance,Trust Fund Balance,2015,$,442000.0
