Period,Region,Product,Pipeline,Railway,Marine,Truck
1/1/1990,AB,Butane,7004,22143,NULL,30
2/1/1990,AB,Butane,25250,29852,NULL,95
3/1/1990,AB,Butane,27770,13789,NULL,30
4/1/1990,AB,Butane,3123,20236,NULL,30
5/1/1990,AB,Butane,13776,24350,NULL,30
6/1/1990,AB,Butane,7792,16007,NULL,30
7/1/1990,AB,Butane,5950,32719,NULL,32
8/1/1990,AB,Butane,10159,18939,NULL,62
9/1/1990,AB,Butane,3238,21456,NULL,31
10/1/1990,AB,Butane,18670,20074,NULL,63
11/1/1990,AB,Butane,34295,24919,NULL,NULL
12/1/1990,AB,Butane,27975,23192,NULL,31
1/1/1991,AB,Butane,32048,19373,NULL,31
2/1/1991,AB,Butane,23182,32742,NULL,31
3/1/1991,AB,Butane,14155,13652,NULL,NULL
4/1/1991,AB,Butane,5132,13001,NULL,31
5/1/1991,AB,Butane,11492,19458,NULL,32
6/1/1991,AB,Butane,7238,23344,NULL,30
7/1/1991,AB,Butane,16622,26650,NULL,31
8/1/1991,AB,Butane,11592,31080,NULL,63
9/1/1991,AB,Butane,NULL,27783,NULL,62
10/1/1991,AB,Butane,NULL,42949,NULL,62
11/1/1991,AB,Butane,47326,42746,NULL,31
12/1/1991,AB,Butane,23778,52554,NULL,62
1/1/1992,AB,Butane,27976,34207,NULL,62
2/1/1992,AB,Butane,18746,16386,NULL,63
3/1/1992,AB,Butane,7835,8454,NULL,32
4/1/1992,AB,Butane,11082,6474,NULL,380
5/1/1992,AB,Butane,2376,8532,NULL,31
6/1/1992,AB,Butane,NULL,10080,NULL,31
7/1/1992,AB,Butane,8407,11934,NULL,32
8/1/1992,AB,Butane,4050,20454,NULL,60
9/1/1992,AB,Butane,4050,12724,NULL,NULL
10/1/1992,AB,Butane,4095,31860,NULL,31
11/1/1992,AB,Butane,465,35745,NULL,3141
12/1/1992,AB,Butane,9805,32358,NULL,970
1/1/1993,AB,Butane,NULL,56064,NULL,31
2/1/1993,AB,Butane,NULL,22357,NULL,31
3/1/1993,AB,Butane,16755,21238,NULL,29
4/1/1993,AB,Butane,12191,14670,NULL,30
5/1/1993,AB,Butane,9110,14345,NULL,NULL
6/1/1993,AB,Butane,1644,11873,NULL,30
7/1/1993,AB,Butane,NULL,16972,NULL,30
8/1/1993,AB,Butane,4111,21529,NULL,61
9/1/1993,AB,Butane,2390,10997,NULL,NULL
10/1/1993,AB,Butane,5679,24161,NULL,60
